epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,2.8246443271636963,0.6523078680038452,2.1054000854492188,0.676102340221405
1,1.9118821620941162,0.696487307548523,1.820589303970337,0.7069988250732422
2,1.712937831878662,0.7211241126060486,1.6185836791992188,0.7313070297241211
3,1.5691859722137451,0.7341285347938538,1.5349169969558716,0.7358151078224182
4,1.489250659942627,0.739741325378418,1.4682185649871826,0.742523193359375
5,1.427477478981018,0.7464523911476135,1.4222080707550049,0.7491292357444763
6,1.3813648223876953,0.751983642578125,1.3872792720794678,0.7531936168670654
7,1.3408981561660767,0.7564809918403625,1.3584649562835693,0.7547582983970642
8,1.3064430952072144,0.7592067718505859,1.3305054903030396,0.7587387561798096
9,1.275231957435608,0.761686384677887,1.3131998777389526,0.7594760656356812
