epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,2.1567318439483643,0.6844398379325867,1.8111178874969482,0.7066510319709778
1,1.6911969184875488,0.7241267561912537,1.587665319442749,0.7322543859481812
2,1.5168886184692383,0.737875759601593,1.489385724067688,0.7405749559402466
3,1.41122567653656,0.7489641308784485,1.382029414176941,0.7526601552963257
4,1.3195195198059082,0.7578034400939941,1.3198565244674683,0.7597039341926575
5,1.2543405294418335,0.7633607983589172,1.268372893333435,0.7636003494262695
6,1.190922498703003,0.7685263752937317,1.2215219736099243,0.7686478495597839
7,1.126442790031433,0.7746027708053589,1.1808149814605713,0.772118866443634
8,1.0701721906661987,0.7796186804771423,1.1498323678970337,0.7766928672790527
9,1.0243620872497559,0.7840936183929443,1.1388274431228638,0.7766208648681641
