epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,2.0345730781555176,0.7004624605178833,1.5742841958999634,0.7343044281005859
1,1.4712785482406616,0.7434961795806885,1.4003046751022339,0.7502503395080566
2,1.333681583404541,0.7570772767066956,1.3135544061660767,0.760657012462616
3,1.2472723722457886,0.7644187211990356,1.261781930923462,0.7645894885063171
4,1.1789692640304565,0.7698597311973572,1.211510181427002,0.7697449326515198
5,1.1185076236724854,0.7753071784973145,1.1766159534454346,0.7737672924995422
6,1.0648784637451172,0.7805163860321045,1.1497151851654053,0.7768126726150513
7,1.0171524286270142,0.7854089140892029,1.1285059452056885,0.7796542048454285
8,0.9756240248680115,0.7897231578826904,1.116754412651062,0.7815903425216675
9,0.9384984970092773,0.7938275933265686,1.1058000326156616,0.7841082215309143
