epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,2.074207305908203,0.6969075798988342,1.6384109258651733,0.7305518388748169
1,1.5141910314559937,0.7411686182022095,1.4589991569519043,0.7476727962493896
2,1.380400538444519,0.7550976872444153,1.3760660886764526,0.7552498579025269
3,1.298606514930725,0.7617310881614685,1.3274296522140503,0.7594761848449707
4,1.238194465637207,0.7665240168571472,1.2913892269134521,0.7635226249694824
5,1.1883288621902466,0.7703132033348083,1.2602022886276245,0.7672091722488403
6,1.1405112743377686,0.774543285369873,1.2378451824188232,0.7683902382850647
7,1.0986779928207397,0.7778578400611877,1.2464102506637573,0.7662981748580933
8,1.0579801797866821,0.7817464470863342,1.1805108785629272,0.7739351391792297
9,1.0151506662368774,0.7857803106307983,1.167224407196045,0.7752059698104858
