recur_type,hidden_size,bleu4,meteor,time_s
lstm,128,0.09424510072513832,0.29164729003761064,28.967563152313232
lstm,512,0.13214779928455092,0.34162095695945777,44.040522734324135
rnn,128,0.10444959416838091,0.30816077714277684,75.4276073773702
rnn,512,0.14281497579728333,0.33225530042533286,64.06401387850444
