epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,2.4597103595733643,0.6869457960128784,1.6193636655807495,0.7295807003974915
1,1.498276948928833,0.7423033714294434,1.4123448133468628,0.7503522634506226
2,1.3569890260696411,0.7561835646629333,1.3252378702163696,0.7593920230865479
3,1.2743219137191772,0.7636740207672119,1.2726452350616455,0.7647392749786377
4,1.2144838571548462,0.7688011527061462,1.2361454963684082,0.768707811832428
5,1.16775643825531,0.7731728553771973,1.2136268615722656,0.7696850299835205
6,1.1298261880874634,0.7764760255813599,1.1974786520004272,0.7711418271064758
7,1.0974948406219482,0.7796809077262878,1.183500051498413,0.7729042172431946
8,1.0689369440078735,0.7825531363487244,1.1736102104187012,0.7742289304733276
9,1.0432583093643188,0.7853437662124634,1.168615698814392,0.7752900719642639
