recur_type,recur_layers,bleu4,meteor,time_s
lstm,1,0.11670899478924507,0.3220165673115093,35.40769827365875
lstm,2,0.12190466732314251,0.32598909276114085,39.770665526390076
lstm,3,0.1009756879021463,0.3018967104229524,34.33376502990723
rnn,1,0.13892690332807112,0.3325221388432419,43.794742703437805
rnn,2,0.12080670287304052,0.3173005285960625,72.08481657505035
rnn,3,0.1111632487473847,0.31080144891286016,93.35787260532379
