epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,2.5648767948150635,0.6736271381378174,1.7579009532928467,0.7232803702354431
1,1.6026571989059448,0.7329166531562805,1.4945008754730225,0.7407968044281006
2,1.4344967603683472,0.7478218674659729,1.3959710597991943,0.7520245909690857
3,1.3411725759506226,0.758120059967041,1.3257728815078735,0.7596137523651123
4,1.2688329219818115,0.7642905712127686,1.2837907075881958,0.7640858888626099
5,1.2108781337738037,0.7697199583053589,1.243188500404358,0.7680426239967346
6,1.1606513261795044,0.7746791839599609,1.2169557809829712,0.7706801295280457
7,1.1186658143997192,0.7783754467964172,1.2085126638412476,0.77158522605896
8,1.0830581188201904,0.7820969820022583,1.1883543729782104,0.7723646759986877
9,1.0509148836135864,0.7855365872383118,1.19878089427948,0.7706981301307678
